CIN_ID,BLOG_CAFE_CIN_KWD,NAVER_CAFE_NCNT,NAVER_CAFE_VIEW_NCNT,NAVER_CAFE_REP_NCNT
mv20190731003,영화 사자,106,26912,565
mv20190731004,영화 엑시트,389,69520,1865
mv20190801001,누구나 아는 비밀,28,1517,101
mv20190801003,알랭 뒤카스 위대한 여정,8,471,3
mv20190807001,봉오동 전투,102,33498,532
mv20190807002,영화 앵그리버드 2,12,899,29
mv20190807003,캐리tv 러브콘서트 더 무비,9,2416,26
mv20190808001,영화 김복동,16,840,56
mv20190808002,나는 예수님이 싫다,19,948,47
mv20190808003,앨리스 죽이기,6,389,3
mv20190808004,영화 호크니,37,2704,79
mv20190814002,분노의 질주 홉스&쇼,54,10653,233
mv20190814003,안녕 티라노,64,4043,253
mv20190814004,영화 원더랜드,32,1808,110
mv20190814005,인면어 저주의 시작,15,809,41
mv20190815001,밤의 문이 열린다,8,2078,61
mv20190815002,영화 사랑의 선물,2,221,8
mv20190815003,수상한 교수,22,1071,91
mv20190815004,영화 암전,34,2148,130
mv20190815005,이타미 준의 바다,29,3851,94
mv20190815006,지구 공룡 대탐험,2,148,0
mv20190821001,광대들 풍문조작단,26,3578,169
mv20190821002,룩 어웨이,7,282,30
mv20190821003,영화 변신,87,7951,360
mv20190821004,블루스 인 인디아,1,114,7
mv20190822002,나만 없어 고양이,21,3271,133
mv20190822003,당나귀 공주,3,182,19
mv20190822005,영화 디터람스,7,689,2
mv20190822007,로슈포르의 숙녀들,8,275,25
mv20190822009,영화 애프터,58,5020,243
mv20190822010,영화 우리집,53,5105,272
mv20190822011,청춘 돼지는 꿈꾸는 소녀의 꿈을 꾸지 않는다,7,447,19
mv20190822012,커런트 워,43,6895,200
mv20190828001,47미터 2,50,9519,164
mv20190828003,블라인드 멜로디,72,9657,326
mv20190828004,영화 안나,46,3071,164
mv20190828005,유열의 음악앨범,97,15205,544
mv20190828006,인비저블 위트니스,1,84,0
mv20190829001,영화 벌새,60,5168,205
mv20190829002,영화 불빛 아래서,4,319,3
mv20190904002,그것 두 번째 이야기,34,4002,138
mv20190904003,극장판 헬로카봇 달나라를 구해줘,2,1309,32
mv20190904004,틴 스피릿,140,4309,184
mv20190905002,"영화 동물, 원",15,737,15
mv20190905004,안녕 베일리,30,3628,140
mv20190911001,극장판 반지의 비밀일기,5,392,20
mv20190911002,나쁜 녀석들 더 무비,48,11956,213
mv20190911005,타짜 원 아이드 잭,58,9859,365
mv20190911006,플레이모빌 더 무비,13,919,49
mv20190911007,힘을 내요 미스터 리,270,14642,460
mv20190912001,100일동안 100가지로 100퍼센트 행복찾기,27,2899,73
mv20190918001,영화 예스터데이,47,9257,142
mv20190919001,디스트로이어,32,1773,98
mv20190919002,발명왕 볼트,3,73,7
mv20190919003,뷰티풀 보이,24,2182,118
mv20190919004,비뚤어진 집,35,2054,102
mv20190919005,애드 아스트라,104,11826,427
mv20190919006,언더 더 실버레이크,12,595,30
mv20190925001,영화 더 룸,142,9700,343
mv20190925002,영화 레플리카,51,1998,126
mv20190925003,미드 90,38,3957,260
