mv_id|title|like_mean_2|like_sum_2|dislike_mean_2|dislike_sum_2|like_mean_3|like_sum_3|dislike_mean_3|dislike_sum_3|like_sum_total|dislike_sum_total
mv20190801003|알랭 뒤카스: 위대한 여정|1.9523809523809523|41.0|0.23809523809523808|5.0|0.0|0.0|0.0|0.0|41|5
mv20190801004|워파이터|1.1904761904761905|25.0|0.5238095238095238|11.0|||||0|0
mv20190805001|도신 외전|1.375|11.0|0.5|4.0|||||0|0
mv20190807001|봉오동 전투|17.15907487654943|340539.0|10.753602741106521|213416.0|5.463990554899646|9256.0|4.9433293978748525|8374.0|349795|221790
mv20190807002|앵그리 버드 2: 독수리 왕국의 침공|1.7899159663865547|426.0|2.3445378151260505|558.0|0.5833333333333334|7.0|0.3333333333333333|4.0|433|562
mv20190807003|캐리tv 러브콘서트 더 무비|7.550724637681159|521.0|5.043478260869565|348.0|0.0|0.0|1.0|2.0|521|350
mv20190808001|김복동|10.57307249712313|9188.0|6.2566168009205985|5437.0|6.475|518.0|7.6125|609.0|9706|6046
mv20190808002|나는 예수님이 싫다|6.75|216.0|6.875|220.0|0.0|0.0|2.0|4.0|216|224
mv20190808003|앨리스 죽이기|13.130434782608695|302.0|8.782608695652174|202.0|2.0|2.0|4.0|4.0|304|206
mv20190808004|호크니|1.3974358974358974|109.0|1.0769230769230769|84.0|0.0|0.0|0.07692307692307693|1.0|109|85
mv20190813001|쥬|||||||||0|0
mv20190814001|더 바이 바이 맨|0.8571428571428571|6.0|3.142857142857143|22.0|0.0|0.0|1.0|1.0|6|23
mv20190814002|분노의 질주: 홉스&쇼|6.7889026232660346|49430.0|2.7029254223320973|19680.0|0.7348754448398577|413.0|0.3469750889679715|195.0|49843|19875
mv20190814003|안녕, 티라노: 영원히, 함께|6.4907407407407405|2103.0|4.324074074074074|1401.0|0.8888888888888888|8.0|0.0|0.0|2111|1401
mv20190814004|원더랜드|||||||||0|0
mv20190814005|인면어: 저주의 시작|11.064516129032258|343.0|1.6451612903225807|51.0|0.0|0.0|0.0|0.0|343|51
mv20190814006|투모로우 2019: 지구 대 빙하기|||||||||0|0
mv20190815001|밤의 문이 열린다|7.666666666666667|299.0|2.0256410256410255|79.0|2.3|46.0|0.75|15.0|345|94
mv20190815002|사랑의 선물|18.280334728033473|4369.0|0.8368200836820083|200.0|2.490566037735849|132.0|1.3584905660377358|72.0|4501|272
mv20190815003|수상한 교수|6.836065573770492|417.0|5.081967213114754|310.0|4.444444444444445|40.0|2.888888888888889|26.0|457|336
mv20190815004|암전|8.774011299435028|7765.0|4.129943502824859|3655.0|1.5396825396825398|97.0|1.2063492063492063|76.0|7862|3731
