title|watcher_score|expert_score|netizen_score
기생충 : 흑백판|9.07|9.06|8.49
소은이의 무릎|10.0|4.50|8.73
아녜스가 말하는 바르다|9.41|8.00|8.84
아이 아이 가사: 다시 만난 그날|||8.77
옹알스|7.17|5.25|7.44
피터팬: 후크 선장과 결투의 날||5.00|6.53
나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다|||8.14
죄와 벌|||
플레이 오어 다이|||
로켓맨|8.80|6.80|8.07
엑스맨: 다크 피닉스|7.47|5.67|5.96
글로리아 벨|7.87|6.50|7.77
닥치고 피아노!|8.29|6.00|8.47
빅샤크2 : 해저2만리|7.90|6.00|7.92
폴라로이드|7.67|3.00|5.28
하나레이 베이|7.80|6.25|7.70
공포의 신생아실|||1.33
엘프: 사탄의 인형|||10.00
맨 인 블랙: 인터내셔널|6.48|4.86|5.10
파라노말 액티비티: 드림하우스|||1.50
극장판 오소마츠 6쌍둥이|9.18||9.04
블랙 47||6.00|7.57
세상을 바꾼 변호인|9.15|5.75|8.98
업사이드|9.69|5.80|8.61
엘리펀트킹 덤보|6.00||4.80
천로역정: 천국을 찾아서|9.44|5.00|8.79
체 게바라: 1부 아르헨티나|9.33|7.25|6.40
체 게바라: 2부 게릴라|10.0|7.25|7.10
클로즈 에너미|||
평일 오후 3시의 연인|8.00|5.33|8.15
지구 최후의 날 2019|||1.33
롱 리브 더 킹: 목포 영웅|8.60|5.00|7.53
검은 여름|7.75|5.25|7.19
북클럽|8.21|5.50|8.15
비블리아 고서당 사건수첩||5.50|5.21
사탄의 인형|6.04|4.00|6.70
쓰리 세컨즈|9.80|5.67|9.11
에움길|10.0|6.00|9.45
완벽한 살인|||4.00
토이 스토리 4|9.23|8.09|9.03
퍼펙트 타겟|10.0||7.23
하우스 오브 투모로우|10.0|6.00|8.50
행복한 라짜로|8.74|8.40|8.65
마담 싸이코|8.94|5.25|6.81
비스트|8.24|4.57|5.21
애나벨 집으로|7.48|4.00|6.22
존 윅 3: 파라벨룸|8.64|6.88|8.01
쁘띠 아만다|8.67|7.00|8.51
사범|10.0|4.50|9.57
솔져스 메모리|||4.00
스트롱거|8.63|6.00|7.88
트리트 미 라이크 파이어|7.25|6.00|7.11
라이딩 업힐|||
생사결|||
컨저링 하우스|||4.67
쿵푸 파이터|||0.00
스파이더맨: 파 프롬 홈|8.99|6.56|8.33
귀신의 향기||6.00|5.95
13년의 공백|8.36|6.80|6.02
갤버스턴|7.83|5.50|8.56
동명이인 프로젝트 시즌2|10.0||7.86
머메이드: 죽음의 호수|||
별의 정원|9.14|6.25|9.36
칠드런 액트|9.05|6.00|8.66
한낮의 피크닉|8.91|6.00|8.33
기방도령|7.07|4.40|5.72
