meta_title,sub_title,engl_title,open_dy,dmst_spct_cnt
롱 리브 더 킹: 목포 영웅,,Long Live the King,20190619,1024457
롱 샷,,LONG SHOT,20190724,6326
루스 베이더 긴즈버그: 나는 반대한다,,RBG,20190328,3860
룩 어웨이,[캐치온],Look Away,20190821,
룩 어웨이,,Look Away,20190821,126
리노,,Lino - Adventure of Seven Lives,20190307,186
리메모리-기억추출,,Rememory,20191017,
리지,,LIzzie,20190110,85
마담 싸이코,,Greta,20190626,
마리아 칼라스: 세기의 디바,,Maria by Callas: In Her Own Words,20190711,
마법안개의 비밀: 황금 보물선을 찾아라,,Captain Morten and the Spider Queen,20191114,371
마왕의 딸 이리샤,,"Ireesha, The Daughter of Elf-king",20190926,11698
마이펫의 이중생활 2,,The Secret Life of Pets 2,20190731,181466
마지막 8월 어느 기념비의 이야기,,Agosto Final,20190221,
막다른 골목의 추억,,Memories of a Dead End,20190404,774
말레피센트 2,,Maleficent: Mistress of Evil,20191017,1444878
말모이,,MAL·MO·E: The Secret Mission,20190109,2738121
매니페스토,,Manifesto,20190725,684
매리,,Mary,20191211,
매트리악,,MATRIARCH,20190509,
맨 인 블랙: 인터내셔널,,Men in Black: International,20190612,843649
머메이드: 죽음의 호수,,THE MERMAID : LAKE OF THE DEAD,20190704,
메기,,Maggie,20190926,14969
메기의 추억,,,20190508,369
메리 포핀스 리턴즈,,Mary Poppins Returns,20190214,
"메리, 퀸 오브 스코틀랜드",,Mary Queen of Scots,20190214,
메시지 맨,,Message Man,20190819,
메이데이,,Mayday,20190425,
메이트,,Mate,20190117,10
명탐정 코난: 감청의 권,,Detective Conan: The Fist of Blue Sapphire,20190724,
명탐정 코난:전율의 악보,,Detective Conan: Full Score of Fear,20190214,
명탐정 피카츄,,Pokemon Detective Pikachu,20190509,
모험왕 블링키,,Blinky Bill The Movie,20190220,
몬스터,,The Monsters,20191107,
몬스터 랜드,,Zombillenium,20190516,
몬스터 하우스,,GNOME ALONE,20191003,
몬스터파크,,Here Comes the Grump,20190123,
몽 가르송,,My Son,20190319,
무간도 외전,,Operation Undercover 2: Poisonous Dragon,20190725,
무법자 난공불락 대열차,,Jesse James vs. The Black Train,20190314,
무서운 이야기 : 오두막의 악마,,Lake Fear 3,20190321,
물의 기억,,The Memory Of Water,20190515,19227
미결처리반 Q 4: 순수의 배신,,The Purity of Vengeance,20190314,
미드 90,,Mid90s,20190925,12386
미드소마,[감독판],Midsommar Director’s Cut,20191003,180
미드소마,,Midsommar,20190711,85070
미드웨이,,Midway,20191231,
미래의 미라이,,MIRAI,20190116,1571
미성년,,Another Child,20190411,
미션 이스탄불 5: 더 파이널,,Fegefeuer,20190103,
미스 스티븐스,,Miss Stevens,20190502,1185
"미안해요, 리키",,SORRY WE MISSED YOU,20191219,25649
미이라: 악령의 부활,,Mummy Reborn,20190417,
바이스,,VICE,20190411,1558
발광하는 현대사,,,20190718,
발명왕 볼트,,Brave Rabbit3 the Crazy Time Machine,20190919,
밤의 문이 열린다,,Ghost Walk,20190815,2121
방문객,,Visitors,20190327,38
배심원들,,Juror 8,20190515,466
백두번째 구름,,"Cloud, Encore",20191226,
백두산,,ASHFALL,20191219,
버스데이 원더랜드,,THE WONDER,20191024,374
버티고,,Vertigo,20191016,786
벌레스크,,Burlesque,20190416,
벌새,,House of Hummingbird,20190829,133425
베스와 베라,,Incident in a Ghost Land,20190124,
베카신!,,Becassine !,20190425,
벤 이즈 백,,Ben is Back,20190509,866
벤트: 마약의 도시,,Bent,20190712,
변신,,Metamorphosis,20190821,1371335
별의 정원,,Astro Gardener,20190704,1199
보희와 녹양,,A Boy and Sungreen,20190529,1317
봄은 온다,,Life goes on,20190314,529
봉오동 전투,,The Battle: Roar to Victory,20190807,8037
북간도의 십자가,,,20191017,
북클럽,,Book Club,20190620,15333
분노는 말이 없다,,Wrath of Silence,20191128,
분노의 질주: 홉스&쇼,,Fast & Furious Presents: Hobbs & Shaw,20190814,3337429
불빛 아래서,,Life is a Dream We'll Wake Up & Scream,20190829,827
뷰티풀 보이,,Beautiful Boy,20190919,526
뷰티풀 보이스,,Beautiful Voice,20190522,113
뷰티플 마인드,,Listen to Your Heart. The Beautiful Mind,20190418,
브라더 오브 더 이어,,Brother of the Year,20190307,4161
블라인드 멜로디,,Shoot the Piano Player,20190828,
블랙 47,,Black 47,20190613,
블랙 머니,,BLACK MONEY,20191113,2178626
블레이드 소울,,Deliler,20190228,
블루 마이 마인드,,Blue My Mind,20191219,
블루스 인 인디아,,Blues In India,20190821,
비뚤어진 집,,Crooked House,20190919,
비블리아 고서당 사건수첩,,The Antique: Secret of The Old Books,20190620,
비스트,,The Beast,20190626,177340
비질란테,,A Vigilante,20190523,
빅 2: 황금열쇠 대소동,,Norm of the North: Keys to the Kingdom,20191030,1565
빅 위시,,SALMAS BIG WISH,20191030,
빅샤크2 : 해저2만리,,Happy Little Submarine : 20000 Leagues under the Sea,20190606,1306
빅트립: 아기팬더 배달 대모험,,Big trip,20191023,36090
빌리어네어 보이즈클럽,,Billionaire Boys Club,20190110,
빠삐용,,Papillon,20190227,
뺑반,,Hit-and-Run Squad,20190130,390732
뽀로로 극장판 보물섬 대모험,뽀로로 극장판 보물섬 대모험,Treasure Island Adventure,20190425,295379
쁘띠 아만다,,Amanda,20190627,2083
사랑은 비가 갠 뒤처럼,,After the Rain,20190207,3454
사랑의 선물,,The Gift of Love,20190815,6143
사무라이-검신 주베에,,Jubei,20190110,1
사바하,,SVAHA : THE SIXTH FINGER,20190220,1677395
사범,,The Master,20190627,
