META_ID,BTV_LIKE_NCNT,BTV_NGOOD_NCNT,BTV_PNT,WATCHA_EVAL_NCNT,WATCHA_RVW_PNT,CINE21_EVAL_NCNT,CINE21_NTNZ_PNT,CINE21_CRTC_PNT
MM1000141621,18426,3308,,43552,2.75,8,3.33,5.2
MM1000148217,10499,1108,,10201,2.78,6,6,5.5
MM1000156677,597,414,,4140,2.46,2,6,4
MM1000158790,1254,145,,15321,2.90,4,5.5,5.5
MM1000160568,28356,208,,45183,3.59,8,8,6
MM1000163157,3,0,,474,3.12,3,,7
MM1000167934,1492,65,,4571,3.53,7,7,6.8
MM1000173105,78,4,,17650,3.46,7,7.8,5.5
MM1000173134,7846,209,,24812,3.88,6,7.33,6.33
MM1000173197,,,,788,3.54,3,,6.67
MM1000181750,357,14,,6095,3.61,3,,6
MM1000187188,3,1,,176,2.81,3,,6.33
MM1000189092,35,7,,763,3.29,3,,5
MM1000194165,3088,95,,3235,2.91,6,6,4.67
MM1000204215,5,0,,174,3.02,3,,6.67
MM1000205389,10,1,,1243,3.49,3,,6.67
MM1000205583,139,85,,2139,2.44,3,6,6
MM1000209557,45,21,,2471,2.24,3,6.5,4
MM1000213272,388,138,,2263,2.71,4,,4.25
MM1000220228,,,,717,3.77,1,,8
MM1000220391,8,1,,1652,3.42,5,,7.2
MM1000223613,59,17,,1296,2.57,1,,6
MM1000230540,13,0,,449,2.85,2,8,7
MM1000238946,16,1,,816,3.51,9,7.83,7.33
MM1000254416,2683,756,,5181,2.82,4,5,5
MM1000255524,8652,1252,,18911,2.59,5,4,4.33
MM1000256327,208,8,,852,3.50,4,,7
MM1000259949,284,22,,2678,3.79,5,,7.6
MM1000260571,30,13,,754,2.93,3,,5.67
MM1000263910,1190,60,,3073,3.47,4,,6
MM1000264533,546,49,,2807,3.30,2,,5.5
MM1000265996,14,2,,233,3.34,3,,6.33
MM1000266020,2862,992,,4773,2.46,2,,4
MM1000276138,1,1,,944,3.35,3,7,7.5
MM1000280701,,,,3827,2.92,1,,6
MM1000291864,23101,3344,,17931,2.53,7,5,4.8
MM1000292123,97,3,,721,3.18,2,,5.5
MM1000299701,1368,1782,,2453,2.18,4,,5.25
MM1000314528,491,117,,1255,2.81,2,5,6
MM1000315961,1378,79,,6863,2.42,6,4.67,5.33
