META_ID,PRIZE_YN,PRIZE_CNT
MM1000199551,N,0
MM1000232989,N,0
MM1000266962,N,0
MM1000316080,N,0
MM1000142802,N,0
MM1000323334,N,0
MM1000330842,N,0
MM1000316888,N,0
MM1000115704,N,0
MM1000303152,N,0
MM1000182787,N,0
MM1000156905,N,0
MM1000324701,N,0
MM1000299141,N,0
MM1000323345,N,0
MM1000160436,N,0
MM1000239043,N,0
MM1000230540,N,0
MM1000317495,N,0
MM1000190786,N,0
MM1000336287,N,0
MM1000194144,N,0
MM1000313647,N,0
MM1000152870,N,0
MM1000199742,N,0
MM1000158790,N,0
MM1000295741,N,0
MM1000319833,N,0
MM1000328631,N,0
MM1000149881,N,0
MM1000329769,N,0
MM1000320775,N,0
MM1000305019,N,0
MM1000333433,N,0
MM1000336684,N,0
MM1000337386,N,0
MM1000131455,N,0
MM1000316092,N,0
MM1000356606,N,0
MM1000194165,N,0
MM1000126752,N,0
MM1000319387,Y,1
MM1000204215,Y,1
MM1000342444,Y,2
MM1000279868,Y,4
MM1000326284,Y,3
MM1000299744,Y,1
MM1000341945,Y,1
MM1000365722,Y,28
MM1000160208,N,0
MM1000313629,N,0
MM1000313635,N,0
MM1000321925,N,0
MM1000205076,N,0
MM1000314153,N,0
MM1000334357,N,0
MM1000325782,N,0
MM1000325274,N,0
MM1000331098,N,0
MM1000346150,N,0
MM1000335764,N,0
MM1000133246,N,0
MM1000318591,N,0
MM1000182030,N,0
MM1000323799,N,0
MM1000348698,N,0
MM1000334281,N,0
MM1000320978,N,0
MM1000251139,N,0
MM1000189071,N,0
MM1000243893,N,0
MM1000308382,N,0
MM1000245901,N,0
MM1000287763,N,0
MM1000287856,N,0
MM1000191128,N,0
MM1000150275,N,0
MM1000115408,N,0
MM1000280701,N,0
MM1000140786,N,0
MM1000125585,N,0
MM1000228485,N,0
MM1000141621,N,0
MM1000326282,N,0
MM1000327469,N,0
MM1000264987,N,0
MM1000337943,N,0
MM1000275119,N,0
MM1000278740,N,0
MM1000321327,N,0
MM1000292699,N,0
MM1000234175,N,0
MM1000141651,N,0
MM1000194198,N,0
MM1000332063,N,0
MM1000329832,Y,2
MM1000334278,Y,1
MM1000170781,Y,1
MM1000131580,Y,1
MM1000202388,Y,8
MM1000196316,Y,1
MM1000170109,Y,1
MM1000131554,Y,1
MM1000217152,Y,1
MM1000317129,Y,4
MM1000336348,Y,2
MM1000343211,Y,1
MM1000334196,Y,1
MM1000265972,N,0
MM1000330071,N,0
MM1000152744,N,0
MM1000199787,N,0
MM1000341718,N,0
MM1000299742,N,0
MM1000144971,N,0
MM1000291864,N,0
MM1000325847,N,0
MM1000140316,N,0
MM1000255498,N,0
MM1000271182,N,0
MM1000340382,N,0
MM1000209677,N,0
MM1000109497,N,0
MM1000292737,N,0
MM1000275237,N,0
MM1000171786,N,0
MM1000253148,N,0
MM1000339232,N,0
MM1000218622,N,0
MM1000206226,N,0
MM1000103011,N,0
MM1000163168,N,0
MM1000132470,N,0
MM1000337879,N,0
MM1000168024,N,0
MM1000337007,N,0
MM1000196039,N,0
MM1000229624,N,0
MM1000181750,N,0
MM1000220228,N,0
MM1000269407,N,0
MM1000266003,N,0
MM1000317051,N,0
MM1000302817,N,0
MM1000314090,N,0
MM1000332023,N,0
MM1000305499,N,0
MM1000319644,N,0
MM1000265996,N,0
MM1000250334,N,0
MM1000233024,N,0
MM1000123495,N,0
MM1000308488,N,0
MM1000265922,N,0
MM1000282504,N,0
MM1000260823,N,0
MM1000256138,N,0
MM1000335674,N,0
MM1000322115,N,0
MM1000199599,N,0
MM1000330411,N,0
MM1000187188,N,0
MM1000318753,N,0
MM1000322844,N,0
MM1000209557,N,0
MM1000287401,N,0
MM1000179076,N,0
MM1000220335,N,0
MM1000308627,N,0
MM1000167979,N,0
MM1000320225,N,0
MM1000317649,N,0
MM1000339155,N,0
MM1000227660,N,0
MM1000182422,N,0
MM1000336070,N,0
MM1000339867,N,0
