META_ID,PRS_ID,PRS_NM,PRS_ROLE_NM,FILMOGRAPHY
MM1000170781,MP1000005434,스티비 크루즈-마틴,감독(연출),심장소리
MM1000171786,MP1000005664,고든 와델,감독(연출),쿵푸 워리어
MM1000173105,MP0000134680,미키 타카히로,감독(연출),"양지의 그녀|언덕길의 아폴론|선생님!... 좋아해도 될까요?|나는 내일, 어제의 너와 만난다"
MM1000173134,MP0000021886,조민호,감독(연출),항거: 유관순 이야기
MM1000173197,MP1000005718,코사카 키타로,감독(연출),옷코는 초등학생 사장님!
MM1000176194,MP0000058344,요르고스 란티모스,감독(연출),더 페이버릿: 여왕의 여자|킬링 디어
MM1000176290,MP0000044658,이정범,감독(연출),악질경찰
MM1000176310,MP1000005782,정희재,감독(연출),히치하이크
MM1000176357,MP1000005783,하마구치 류스케,감독(연출),아사코
MM1000178083,MP1000005854,피에르 쉘러,감독(연출),원네이션
MM1000178652,MP0000078702,이수진,감독(연출),우상
MM1000179076,MP0000150811,애덤 로비텔,감독(연출),이스케이프 룸|인시디어스 4: 라스트 키|테이킹
MM1000179222,MP0000159877,라스무스 A. 실버르센,감독(연출),고릴라와 슈퍼레이스|아기곰 보보 구출 대작전|배저로와 친구들: 신비한 모험
MM1000179986,MP0000001301,클린트 이스트우드,감독(연출),라스트 미션
MM1000180060,MP1000005980,구스타브 몰러,감독(연출),더 길티
MM1000181337,MP1000005881,조 페나,감독(연출),아틱
MM1000181750,MP0000085028,워시 웨스트모어랜드,감독(연출),콜레트
MM1000181756,MP1000005949,위타야 통유용,감독(연출),브라더 오브 더 이어
MM1000182030,MP1000005994,박영주,감독(연출),선희와 슬기
MM1000182033,MP0000096435,김지혜,감독(연출),썬키스 패밀리
MM1000182422,MP0000166954,시바야마 겐지,감독(연출),우리들의 완벽한 세계
MM1000182787,MP0000005049,M. 나이트 샤말란,감독(연출),글래스|23 아이덴티티
MM1000183639,MP1000006013,벳시 웨스트,감독(연출),루스 베이더 긴즈버그: 나는 반대한다
MM1000184271,MP0000136782,김재환,감독(연출),칠곡 가시나들|미스 프레지던트
MM1000184645,,,,
MM1000187188,MP0000166304,임태규,감독(연출),파도치는 땅|폭력의 씨앗
MM1000187998,MP0000004664,여균동,감독(연출),예수보다 낯선
MM1000189071,MP0000153846,조던 필,감독(연출),토이 스토리 4|어스|겟 아웃
